00:00.527  blend            | Read blend: "/Users/mishi/elite-dent-website/blender/elitedent_splash.blend"
00:00.544  render           | Rendering animation (frames 1..142)
00:00.545  render           | Rendering frame 1
00:00.545  render           | Start rendering: Scene, ViewLayer
00:00.545  render           | Engine: EEVEE
00:01.087  render           | Fra: 1 | Rendering 1 / 64 samples
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 01:35:57)
00:01.100  render           | Fra: 1 | Rendering 25 / 64 samples
00:01.113  render           | Fra: 1 | Rendering 50 / 64 samples
00:01.345  render           | Fra: 1 | Rendering 64 / 64 samples
00:01.614  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0001.png'
00:01.614  render           | Time: 00:01.06 (Saving: 00:00.24)
00:01.614  render           | Rendering frame 2
00:01.614  render           | Start rendering: Scene, ViewLayer
00:01.614  render           | Engine: EEVEE
00:01.620  render           | Fra: 2 | Rendering 1 / 64 samples
00:01.623  render           | Fra: 2 | Rendering 25 / 64 samples
00:01.627  render           | Fra: 2 | Rendering 50 / 64 samples
00:01.861  render           | Fra: 2 | Rendering 64 / 64 samples
00:01.987  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0002.png'
00:01.987  render           | Time: 00:00.37 (Saving: 00:00.12)
00:01.987  render           | Rendering frame 3
00:01.988  render           | Start rendering: Scene, ViewLayer
00:01.988  render           | Engine: EEVEE
00:01.995  render           | Fra: 3 | Rendering 1 / 64 samples
00:01.998  render           | Fra: 3 | Rendering 25 / 64 samples
00:02.000  render           | Fra: 3 | Rendering 50 / 64 samples
00:02.133  render           | Fra: 3 | Rendering 64 / 64 samples
00:02.229  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0003.png'
00:02.229  render           | Time: 00:00.24 (Saving: 00:00.09)
00:02.229  render           | Rendering frame 4
00:02.229  render           | Start rendering: Scene, ViewLayer
00:02.229  render           | Engine: EEVEE
00:02.233  render           | Fra: 4 | Rendering 1 / 64 samples
00:02.235  render           | Fra: 4 | Rendering 25 / 64 samples
00:02.237  render           | Fra: 4 | Rendering 50 / 64 samples
00:02.372  render           | Fra: 4 | Rendering 64 / 64 samples
00:02.477  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0004.png'
00:02.477  render           | Time: 00:00.24 (Saving: 00:00.09)
00:02.477  render           | Rendering frame 5
00:02.477  render           | Start rendering: Scene, ViewLayer
00:02.477  render           | Engine: EEVEE
00:02.480  render           | Fra: 5 | Rendering 1 / 64 samples
00:02.482  render           | Fra: 5 | Rendering 25 / 64 samples
00:02.484  render           | Fra: 5 | Rendering 50 / 64 samples
00:02.621  render           | Fra: 5 | Rendering 64 / 64 samples
00:02.725  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0005.png'
00:02.725  render           | Time: 00:00.24 (Saving: 00:00.09)
00:02.725  render           | Rendering frame 6
00:02.725  render           | Start rendering: Scene, ViewLayer
00:02.725  render           | Engine: EEVEE
00:02.728  render           | Fra: 6 | Rendering 1 / 64 samples
00:02.730  render           | Fra: 6 | Rendering 25 / 64 samples
00:02.732  render           | Fra: 6 | Rendering 50 / 64 samples
00:02.874  render           | Fra: 6 | Rendering 64 / 64 samples
00:03.095  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0006.png'
00:03.095  render           | Time: 00:00.37 (Saving: 00:00.21)
00:03.095  render           | Rendering frame 7
00:03.095  render           | Start rendering: Scene, ViewLayer
00:03.095  render           | Engine: EEVEE
00:03.099  render           | Fra: 7 | Rendering 1 / 64 samples
00:03.101  render           | Fra: 7 | Rendering 25 / 64 samples
00:03.103  render           | Fra: 7 | Rendering 50 / 64 samples
00:03.231  render           | Fra: 7 | Rendering 64 / 64 samples
00:03.342  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0007.png'
00:03.342  render           | Time: 00:00.24 (Saving: 00:00.10)
00:03.342  render           | Rendering frame 8
00:03.343  render           | Start rendering: Scene, ViewLayer
00:03.343  render           | Engine: EEVEE
00:03.346  render           | Fra: 8 | Rendering 1 / 64 samples
00:03.348  render           | Fra: 8 | Rendering 25 / 64 samples
